nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp19DM01-Inoc1-P9,md,,,,,,c,3,Exp19DM01_saisie,fichier total
Exp19DM01-Inoc1-P18,md,,,,,,a,2,Exp19DM01_saisie,fichier total
Exp19DM01-Inoc1-P18,md,,,,,,b,2,Exp19DM01_saisie,fichier total
Exp19DM01-Inoc1-P18,md,,,,,,c,2,Exp19DM01_saisie,fichier total
Exp19DM01-Inoc1-P29,md,,,,,,b,1,Exp19DM01_saisie,fichier total
Exp19DM01-Inoc1-P37,md,,,,,,a,4,Exp19DM01_saisie,fichier total
Exp19DM01-Inoc1-P38,md,,,,,,a,2,Exp19DM01_saisie,fichier total
Exp19DM01-Inoc1-P38,md,,,,,,b,2,Exp19DM01_saisie,fichier total
Exp19DM01-Inoc1-P38,md,,,,,,c,2,Exp19DM01_saisie,fichier total
Exp19DM01-Inoc1-P38,md,,,,,,c,4,Exp19DM01_saisie,fichier total
