nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp18DM07-Inoc1-P8,3,1,1,,,,b,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P8,5,1,1,,,,c,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P8,5,1,5,,,,a,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P8,5,1,5,,,,b,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P8,5,1,5,,,,c,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,3,1,3,,,,a,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,3,1,3,,,,b,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,3,1,3,,,,c,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,5,1,5,,,,a,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,5,1,5,,,,b,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,3,1,5,,,,c,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,5,1,7,,,,a,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,5,1,7,,,,b,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,5,1,7,,,,c,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,3,1,3,,,,a,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,3,1,3,,,,b,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P9,3,1,3,,,,c,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,3,1,3,,,,a,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,3,1,3,,,,b,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,3,1,3,,,,c,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,7,1,7,,,,a,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,5,1,7,,,,b,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,7,1,7,,,,c,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,3,1,3,,,,a,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,3,1,3,,,,b,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,1,1,3,,,,c,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,1,1,1,,,,a,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,1,1,1,,,,b,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P10,1,1,1,,,,c,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,a,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,b,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,c,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,a,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,b,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,c,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,a,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,b,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,c,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,a,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,b,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P14,3,1,3,,,,c,4,Exp18DM07_saisie,Feuil1
