nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp16DM11_inoc1_T6_P05,3.0,1.0,5.0,,,,a,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P05,5.0,1.0,5.0,,,,b,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P05,3.0,1.0,5.0,,,,c,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P05,1.0,1.0,3.0,,,,a,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P05,1.0,1.0,3.0,,,,b,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P05,1.0,1.0,3.0,,,,c,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P05,5.0,1.0,5.0,1.0,7.0,5.0,a,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P05,5.0,1.0,5.0,1.0,7.0,5.0,b,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P05,5.0,1.0,5.0,1.0,7.0,5.0,c,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P05,7.0,1.0,9.0,1.0,7.0,7.0,a,4,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P05,7.0,1.0,9.0,1.0,7.0,7.0,b,4,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P05,7.0,1.0,9.0,1.0,7.0,7.0,c,4,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P06,9.0,,,1.0,3.0,9.0,a,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P06,9.0,,,1.0,3.0,9.0,b,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P06,9.0,,,1.0,3.0,9.0,c,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P06,7.0,1.0,9.0,,,,a,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P06,7.0,1.0,9.0,,,,b,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P06,7.0,1.0,9.0,,,,c,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P06,5.0,1.0,5.0,,,,a,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P06,5.0,1.0,5.0,,,,b,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P06,5.0,1.0,5.0,,,,c,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,7.0,1.0,5.0,1.0,5.0,5.0,a,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,7.0,1.0,5.0,1.0,5.0,5.0,b,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,7.0,1.0,5.0,1.0,5.0,5.0,c,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,5.0,1.0,5.0,,,,a,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,3.0,1.0,3.0,,,,b,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,3.0,1.0,3.0,,,,c,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,3.0,1.0,5.0,,,,a,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,3.0,1.0,5.0,,,,b,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,3.0,1.0,5.0,,,,c,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,5.0,1.0,3.0,,,,a,4,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,5.0,1.0,3.0,,,,b,4,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P07,5.0,1.0,3.0,,,,c,4,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,5.0,1.0,5.0,,,,a,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,5.0,1.0,5.0,,,,b,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,5.0,1.0,5.0,,,,c,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,3.0,1.0,3.0,,,,a,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,3.0,1.0,3.0,,,,b,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,3.0,1.0,3.0,,,,c,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,5.0,1.0,3.0,,,,a,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,5.0,1.0,3.0,,,,b,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,5.0,1.0,3.0,,,,c,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,3.0,1.0,3.0,,,,a,4,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,5.0,1.0,3.0,,,,b,4,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P08,5.0,1.0,3.0,,,,c,4,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P09,5.0,1.0,3.0,1.0,3.0,3.0,a,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P09,5.0,1.0,3.0,1.0,3.0,3.0,b,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P09,5.0,1.0,3.0,1.0,3.0,3.0,c,1,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P09,5.0,1.0,3.0,,,,a,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P09,5.0,1.0,3.0,,,,b,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P09,5.0,1.0,3.0,,,,c,2,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P09,3.0,1.0,3.0,,,,a,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P09,3.0,1.0,3.0,,,,b,3,Exp16DM11_inoc1_saisie,fichier_total
Exp16DM11_inoc1_T6_P09,3.0,1.0,3.0,,,,c,3,Exp16DM11_inoc1_saisie,fichier_total
